Raz�o Social;Fundo;Segmento;C�digo;
HECTARE DESENV. STUDENT HOUSING - FDO. INV. IMOB.;FII HECT DES;;HCST;
HECTARE RECEB�VEIS HIGH GRADE FDO. INV. IMOB.;FII HECT CRI;;HCHG;
HEDGE AAA FDO. INV. IMOB.;FII HEDGEAAA;;HAAA;
HEDGE ATRIUM SHOPPING SANTO ANDRE FDO INV IMOB;FII HATRIUM;;ATSA;
HEDGE BRASIL LOG�STICO IND FUND INV IMOB RESP LIM;FII HGBL;;HGBL;
HEDGE BRASIL SHOPPING FDO INV IMOB;FII HEDGEBS;;HGBS;
HEDGE DESENVOLVIMENTO LOG�STICO FDO INV IMOB;FII HEDGE DV;;HDEL;
HEDGE FLORIPA SHOPPING FUNDO INV IMOBI;FII FLORIPA;;FLRP;
HEDGE LOG�STICA FDO. INV. IMOB.;FII HEDGELOG;;HLOG;
HEDGE OFFICE INCOME FUNDO DE INVESTIMENTO IMOB.;FII HOFFICEI;;HOFC;
HEDGE PALADIN DESIGN OFFICES FDO INV IMOB;FII HEDGE OF;;HDOF;
HEDGE REALTY DEVELOPMENT FDO INV IMOB;FII HREALTY;;HRDF;
HEDGE RECEBIVEIS IMOB. FUNDO DE INVST. IMOB.;FII HEDGEREC;;HREC;
HEDGE SEED FUNDO DE INVESTIMENTO IMOBILI�RIO;FII HEDGE SD;;SEED;
HEDGE SHOPPING PARQUE DOM PEDRO FDO. DE INV. IMOB.;FII HEDGEPDP;;HPDP;
HEDGE TOP FOFII 3 FDO INV IMOB;FII HTOPFOF3;;HFOF;
HEDGE YEES HABITA��ES ECON FDO DE INV IMOB RESP L;FII YEES;;YEES;
HGI CR�DITOS IMOBILI�RIOS FDO. INV. IMOB.;FII HGI CRI;;HGIC;
HIRE LOG I FDO DE INV IMOB;FII HIRE LOG;;HILG;
HSI ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBI;FII HSI CRI;;HSAF;
HSI LOG�STICA FUNDO DE INVESTIMENTO IMOBILI�RIO;FII HSI LOG;;HSLG;
HSI MALL FDO INV IMOB;FII HSI MALL;;HSML;
HSI RENDA IMOB FDO INV IMOB;FII HSIRENDA;;HSRE;
HUSI FDO INV. IMOB.;FII HUSI;;HUSI;
 ICATU VANGUARDA CR�DITO IMOB FDO DE INV IMOB LTDA;FII IVCI;;IVCI;
ICATU VANGUARDA GRU LOG FDO DE INV IMOB - RESP LIM;FII GRUL;;GRUL;
�CONE - FUNDO DE INVEST IMOB RES LIMITADA;FII ICNE;;ICNE;
INTER DESENVOLVIMENTO FDO DE INV IMOB;FII INDE;;INDE;
INTER TEVA INDICE DE PAPEL FUNDO DE INVESTIMENTO;FII INTER IP;;ITIP;
 INTER TEVA INDICE DE TIJOLO FUNDO DE INVESTIMENTO;FII INTER IT;;ITIT;
INTER T�TULOS IMOB. FDO INV. IMOB.;FII INTER;;BICR;
INVISTA BRAZILIAN BUSINESS PARK FDO DE INV IMOB;FII IBBP;;IBBP;
INVISTA SCJ - FII;FII ISCJ;;ISCJ;
IRIDIUM FUNDO DE INVESTIMENTO IMOBILI�RIO;FII IRIM;;IRIM;
ITA� CR�DITO IMOB IPCA FDO DE INV IMOB;FII CI IPCA;;ICRI;
ITA� TEMPUS FUNDO DE INVESTIMENTO IMOBILI�RIO;FII ITAU TEM;;TMPS;
ITA� TOTAL RETURN FDO DE INV IMOB;FII ITRI;;ITRI;
JACARAND� 02 FUNDO DE INVESTIMENTO IMOBILI�RIO FII;FII JCDB 02;;JCDB;
JACARAND� I FUNDO DE INVESTIMENTO IMOBILI�RIO -FII;FII JCDA I;;JCDA;
 JASC RENDA VAREJO ESSENCIAL FDO DE INV IMOB - FII;FII JASC REN;;JASC;
JBFO FOF FDO INV. IMOB.;FII JBFO FOF;;JBFO;
JFDCAM FUNDO DE INVESTIMENTO IMOBILI�RIO FII;FII JFDCAM;;VJFD;
JFL LIVING FDO. INV. IMOB.;FII JFL LIV;;JFLL;
JGP DESENVOLVIMENTO I FDO INV IMOB RESP LIMIT;FII RDLS;;RDLS;
JHSF CAPITAL CIDADE JARDIM - FDO DE INV IMOB;FII JHSF CJ;;JCCJ;
JPP CAPITAL FDO INV IMOB - FII;FII JPP CAPI;;JPPC;
JPP CAPITAL RECEBIVEIS IMOB. FDO. INVEST. IMOB.;FII JPPA CRI;;JPPA;
JS ATIVOS FINANCEIROS FDO DE INV IMOBILI�RIO;FII JS A FIN;;JSAF;
JS REAL ESTATE MULTIGEST�O - FII;FII JS REAL;;JSRE;
JS RECEB�VEIS IMOBILI�RIOS FDO DE INV IMOB;FII JSCR;;JSCR;
JT PREV FDO INV IMOB DESENVOLVIMENTO HABITACIONAL;FII JT PREV;;JTPR;
KILIMA FIC FDO. IMOB. SUNO 30;FII KILIMA;;KISU;
KILIMA VOLKANO RECEB�VEIS IMOB FDO DE INV IMOB;FII KIVO;;KIVO;
KINEA AQUISI��ES RESIDENCIAIS FII RESP LIM;FII KRES;;KRES;
KINEA CREDITAS FDO DE INV IMOBILI�RIO - FII;FII KINEA CR;;KCRE;
KINEA DESENVOLVIMENTO LOG�STICO FDO DE INV IMOB;FII KINEA DL;;KLOG;
KINEA F�NIX FII - RESP LIM;FII KFEN;;KFEN;
KINEA HEDGE FUND FDO DE INV IMOB;FII KINEA HF;;KNHF;
KINEA HIGH YIELD CRI FDO INV IMOB - FII;FII KINEA HY;;KNHY;
KINEA II REAL ESTATE EQUITY FDO INV IMOB;FII KII REAL;;KNRE;
KINEA �NDICES DE PRE�OS FDO INV IMOB - FII;FII KINEA IP;;KNIP;
KINEA OPOR IMOB I FUNDO DE INVEST IMB LTDA;FII KOPI;;KOPI;
KINEA OPORTUNIDADES REAL ESTATE FDO DE INV IMOB;FII KORE;;KORE;
KINEA PREMIUM PROPERTIES FDO INV IMOB;FII KINEA PR;;KNPR;
KINEA RENDA IMOBILI�RIA FDO INV IMOB - FII;FII KINEA;;KNRI;
KINEA RENDIMENTOS IMOBILI�RIOS FDO INV IMOB - FII;FII KINEA RI;;KNCR;
KINEA SECURITIES FDO. DE INV. IMOB. - FII;FII KINEA SC;;KNSC;
KINEA UNIQUE HY CDI FUNDO DE INVESTIMENTO IMOB;FII KINEA UN;;KNUQ;
LAGO DA PEDRA - FUNDO DE INVESTIMENTO IMOBILI�RIO;FII LAGO PDR;;LPLP;
LAV SLDZ DESENVOLVIMENTO IMOB FDO INV IMOB;FII LAV SLDZ;;SLDZ;
LCP REAL ESTATE DEVELOPMENT FII RESP LIM;FII LRED;;LRED;
 LCP SPECIAL OPPORTUNITIES I FDO INV IMOB RESP;FII LSOI;;LSOI;
LEGATUS SHOPPINGS FDO. INV. IMOB. - FII;FII LEGATUS;;LASC;
LESTE RIVA EQUITY PREFERENCIAL I FDO. INV. IMOB.;FII LESTE PA;;LSPA;
LIFE CAPITAL PARTNERS FUNDO DE INVESTIMENTO IMOB;FII LIFE;;LIFE;
LOFT I - FDO INV IMOB;FII LOFT I;;LOFT;
LOFT II FUNDO DE INVESTIMENTO IMOBILI�RIO;FII LOFT II;;LFTT;
LOGCP INTER FDO INV IMOB;FII LGCP INT;;LGCP;
LUGGO FDO. INV. IMOB.;FII LUGGO;;LUGG;
MANAT� CAPITAL HEDGE FUND FDO INV IMOB;FII MANATI;;MANA;
MARESIAS FUNDO DE INVESTIMENTO IMOBILI�RIO;FII MMVE OP;;MMVE;
MAU� CAPITAL REAL ESTATE FDO DE INV IMOB;FII MAUA HY;;MCHY;
MAXI RENDA FDO INV IMOB - FII;FII MAXI REN;;MXRF;
M�RITO CEMIT�RIOS FII - FDO DE INV IMOB;FII MCEM;;MCEM;
M�RITO DESENVOLVIMENTO IMOBILI�RIO I FII - FII;FII MERITO I;;MFII;
MERITO FDO. A��ES IMOB. FII - FDO INV. IMOB.;FII MERITOFA;;MFAI;
M�RITO RECEB�VEIS IMOBILI�RIOS FII - FDO INV IMOB;FII MERITO R;;MFCR;
MOGNO PROPERTIES FUNDO DE INVESTIMENTO IMOBILIARIO;FII MGRI;;MGRI;
MULTI SHOPPINGS FDO INV IMOB - FII;FII MULTSHOP;;SHOP;
MULTIGEST�O RENDA COMERCIAL FDO INV IMOB - FII;FII MTGESTAO;;DRIT;
MULTIOFFICES 2 - FDO. INV. IMOB.;FII MULT OF2;;MOFF;
NAVI CR�DITO IMOBILI�RIO - FDO INV IMOB;FII NAVI CRI;;NCRI;
NAVI IMOBILI�RIO TOTAL RETURN FDO. INVEST. IMOB.;FII NAVI TOT;;NAVT;
NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILI�RIO;FII NAVI RSD;;APTO;
NEWPORT LOG�STICA FDO INV. IMOB.;FII NEWPORT;;NEWL;
NEWPORT RENDA URBANA FDO INV IMOB;FII NEWRU;;NEWU;
NOVA I - FDO INV IMOB - FII;FII NOVA I;;NVIF;
OCTO FDO DE INV IMOB;FII OCTO;;OCRE;
ONDA DESENVOLVIMENTO IMOB FDO DE INV IMOB;FII ONDV;;ONDV;
OPEN K ATIVOS E RECEBIVEIS  IMOBILIARIOS - FII;FII ATRIO;;ARRI;
OPPORTUNITY BALASSIANO FDO DE INV IMOB;FII OPPBAL;;OBAL;
OPPORTUNITY FDO INV IMOB;FII OPPORTUN;;FTCE;
OURINVEST JPP FDO INV IMOB - FII;FII OURI JPP;;OUJP;
PANORAMA CREDITO RESIDENCIAL  FDO DE INV IMOB;FII PNCR;;PNCR;
PANORAMA DESENVOLVIMENTO LOG�STICO FDO. INV. IMOB.;FII PANORAMA;;PNDL;
PANORAMA LAST MILE SBC FDO INV IMOB;FII LASTMILE;;PNLM;
PANORAMA PROPERTIES FDO. INVEST. IMOB.;FII PAN PROP;;PNPR;
PANORAMA REAL ESTATE CR�DITO FDO INV IMOB;FII PNRC;;PNRC;
PARAMIS HEDGE FUND FDO DE INV IMOB;FII PMIS;;PMIS;
PARKING PARTNERS FDO. INVEST. IMOB.;FII PARK PAR;;VTVI;
PARQUE ANHANGUERA FDO. INVEST. IMOB.;FII PARQ ANH;;PQAG;
PATAG�NIA CAPITAL MULTIESTRAT�GIA FDO DE INV IMOB;FII PATA;;PATA;
P�TRIA EDIF�CIOS CORPORATIVOS FDO INV IMOB - FII;FII PATRIA;;PATC;
P�TRIA ESCRIT�RIOS - FDO INV IMOB - RESPONSAB LTDA;FII HGRE PAX;;HGRE;
P�TRIA IMOBILI�RIO FOF - FII - RESPONSAB LTDA.;FII HGFF PAX;;HGFF;
P�TRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.;FII HGLG PAX;;HGLG;
P�TRIA LOG�STICA FUNDO DE INVESTIMENTO IMOBILI�RIO;FII PATLOGIS;;PATL;
P�TRIA PRIME OFFICES - FII - RESPONSABILIDADE LTDA;FII HGPO PAX;;HGPO;
P�TRIA RECEB�VEIS IMOBILI�RIOS - FII - RESP. LTDA.;FII HGCR PAX;;HGCR;
P�TRIA RENDA URBANA - FII - RESPONSABILIDADE LTDA.;FII HGRU PAX;;HGRU;
PERFORMA REAL ESTATE - FDO. INV. IMOB.;FII PERFORMA;;PEMA;
PERSONALE I FDO INV IMOB - FII;FII PERSONAL;;PRSN;
POLO CREDITO IMOBILIARIO- FII;FII POLO CRI;;PORD;
POLO FDO INV IMOB - FII RECEB�VEIS IMOBILI�RIOS I;FII POLO I;;PLRI;
PRAIA DO CASTELO FUNDO DE INVESTIMENTO IMOBILI�RIO;FII PRAIA CS;;PCAS;
PRAZO - FUNDO DE INVESTIMENTO IMOBILI�RIO - FII;FII PRAZO;;PRZS;
PRESIDENTE VARGAS FDO INV IMOB;FII P VARGAS;;PRSV;
PROLOGIS BRAZIL LOGISTICS VENTURE FDO INV IMOB;FII PROLOGIS;;PBLV;
QUARTZO REAL ESTATE DEVELOPMENT MULTI FII RESP LIM;FII QTZD;;QTZD;
RAIZZ DESENVOLVIMENTO II FII RESP. LIMITADA;FII RZZI;;RZZI;
RB CAPITAL DESENV RESID III FDO INV IMOB - FII;FII RBRESID3;;RSPD;
RB CAPITAL DESENV. RESID. II FDO INV IMOB - FII;FII RBRESID2;;RBDS;
RB CAPITAL DESENV. RESIDENCIAL IV FDO. INV. IMOB.;FII RBRES IV;;RBIR;
RB CAPITAL LOG�STICO FDO. INV. IMOB.YE;FII RBCAP LG;;RBLG;
RB CAPITAL RECEB�VEIS IMOB. FDO. INVEST. IMOB FII;FII RBCAP RI;;RRCI;
RB CAPITAL RENDA I FDO INV IMOB - FII;FII RB CAP I;MB;FIIP;
RB CAPITAL RENDA II FDO INV IMOB - FII;FII RB II;;RBRD;
RB CAPITAL TFO SITUS FDO INV IMOB - FII;FII RB TFO;;RBTS;
RBR ALPHA MULTIESTRAT�GIA REAL ESTATE FDO INV IMOB;FII RBRALPHA;;RBRF;
RBR DESENV COMERCIAL FEEDER FOF FDO INVEST IMOB;FII RBR FEED;;RCFF;
RBR DESENVOLVIMENTO COMERCIAL I - FDO DE INV IMOB;FII RDCI;;RDCI;
RBR DESENVOLVIMENTO LOG�STICO I - FII RESP LIMITAD;FII RDLI;;RDLI;
RBR LOG FUNDO DE INVESTIMENTO IMOBILI�RIO;FII RBR LOG;;RBRL;
RBR PLUS MULTIESTRAT�GIA REAL ESTATE FII;FII RBR MULT;;RBRX;
RBR PREMIUM RECEB�VEIS IMOBILI�RIOS FDO INV IMOB;FII RBR PR;;RPRI;
RBR TOP OFFICES FDO DE INV IMOB RESP LIM;FII TOPP;;TOPP;
REAG MULTI ATIVOS IMOBILI�RIOS - FII;FII REAGMULT;;RMAI;
REAL INVESTOR FUNDO DE INVESTIMENTO IMOBILI�RIO;FII REAL INV;;RINV;
REC FDO DE CRI COTAS AMORT FDO DE INV IMOB - R LIM;FII RECD;;RECD;
RIO BRAVO CREDITO IMOB HIGH GRADE FUND DE INVEST;FII RBCRI IV;;RBHG;
RIO BRAVO CR�DITO IMOB. HIGH YIELD FDO. INV. IMOB.;FII RB YIELD;;RBHY;
RIO BRAVO CR�DITO IMOBILI�RIO II FDO INV IMOB -FII;FII RIOBCRI2;;RBVO;
RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOB;FII RIOB FF;;RBFF;
RIO BRAVO OPORTUNIDADES IMOBILI�RIAS FII;FII MERC BR;;RBOP;
RIO BRAVO RENDA RESIDENCIAL FDO. INVEST. IMOB.;FII RIOB RR;;RBRS;
RIZA AKIN FDO. INV. IMOB. FII;FII RIZA AKN;;RZAK;
RIZA ARCTIUM REAL ESTATE FDO INV IMOB;FII ARCTIUM;;RZAT;
RIZA LECCI FUNDO DE INVESTIMENTO IMOB RESP LIM;FII RZLC;;RZLC;
ROCK - FII FUNDO DE INVESTIMENTO IMOBILI�RIO;FII ROCK;;RCKF;
SANTANDER PAPEIS IMOB CDI FDO INV IMOB;FII SANT PAP;;SADI;
SANTANDER PAP�IS IMOBILI�RIOS FDO DE INV IMOB;FII SAPI;;SAPI;
SANTANDER RENDA DE ALUGU�IS FDO. INVEST. IMOB.;FII SANT REN;;SARE;
SAO DOMINGOS FDO INV IMOB - FII;FII DOMINGOS;;FISD;
SEQUOIA III RENDA IMOBILI�RIA - FDO. INV. IMOB.;FII SEQUOIA;;SEQR;
SHOPPING WEST PLAZA FDO INV IMOB;FII W PLAZA;;WPLZ;
SINGULARE FDO INV IMOB - FII;FII REIT RIV;;REIT;
SJ AU LOG�STICA FDO. INV. IMOB.;FII SJ AU;;SJAU;
SOLARIUM FII - FDO INV. IMOB.;FII SOLARIUM;;SOLR;
SP DOWNTOWN FDO INV IMOB - FII;FII SP DOWNT;;SPTW;
SPA FDO INV IMOB - FII;FII SPA;;SPAF;
SPECIALE BLUE REAL ASSET FDO DE INV IMOB;FII SPECIALE;;LTMT;
SPECIALE REAL ESTATE DEVELOPMENT FDO DE INV IMOB;FII DVLP;;DVLP;
SPECIALE REAL ESTATE DEVELOPMENT II FII;FII DVLT;;DVLT;
SPECIALE REAL ESTATE FUND OF FUNDS FDO DE INV IMOB;FII PMFO;;PMFO;
SPGM FDO DE INV IMOB - RESP LIM;FII SPGM;;SPGM;
SPX SYN DESENV GALP�ES LOG FEEDER PRIVATE FII;FII SPXG;;SPXG;
SPX SYN DESENVOLVIMENTO DE GALP�ES LOG�STICOS;FII SPXL;;SPXL;
STARX FDO INV IMOB - FII;FII STARX;;STRX;
SUNO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILI�RIO;FII SUNOFOFI;;SNFF;
SUNO LOG FUNDO DE INVESTIMENTO IMOBILI�RIO;FII SUNO LG;;SNLG;
SUNO MULTIESTRAT�GIA FDO DE INV IMOB;FII SNME;;SNME;
SUNO RECEB�VEIS IMOBILI�RIOS FDO DE INV IMOB;FII SUNO CRI;;SNCI;
SUPREMO FUNDO DE INVESTIMENTO IMOBILI�RIO;FII SUPREMO;;SPMO;
TELLUS DESENVOLVIMENTO LOG�STICO FDO. INVEST. IMOB;FII TELLUS;;TELD;
TELLUS MULTIESTRAT�GIA - FDO INV IMOB RESP LTDA;FII TELM;;TELM;
TELLUS PROPERTIES - FDO INV. IMOB;FII TEL PROP;;TEPP;
TISHMAN SPEYER RENDA CORPORATIVA FDO. INV. IMOB.;FII TISHMAN;;TSER;
TIVIO RENDA IMOBILI�RIA FUNDO DE INVESTIMENTO IMOB;FII TIVIO RI;;TVRI;
TIVIO SECURITIES FUNDO DE INVESTIMENTO IMOBILI�RIO;FII V MASTER;;VOTS;
TJK RENDA IMOBILI�RIA FDO INV IMOB;FII TJK REND;;TJKB;
TORDESILHAS EI FDO. INV. IMOB.;FII TORDE EI;;TORD;
TRANSINC FDO INV IMOB - FII;FII TRANSINC;;TSNC;
TREECORP REAL ESTATE FDO INV IMOB - I;FII TREECORP;;TCPF;
TRX REAL ESTATE FDO. INV. IMOB. - FII;FII TRX REAL;;TRXF;
TRX REAL ESTATE II FDO. INVEST. IMOB.;FII TRX R II;;TRXB;
URCA HEDGE FUND MULT IMOB FDO INV IMOB - RESP LIM;FII URHF;;URHF;
URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILI�RIO;FII URCA REN;;URPR;
V2 EDIFICIOS CORPORATIVOS FDO INV IMOB - FII;FII V2EDCORP;;VVCO;
V2 RECEB�VEIS IMOBILI�RIOS FUNDO DE INVESTIMENTO I;FII V2 RECE;;VVCR;
V2 RENDA IMOBILI�RIA FDO DE INV IMOB;FII V2 RENDA;;VVRI;
VALORA CRI CDI FUNDO DE INVESTIMENTO IMOBILI�RIO;FII VALREIII;;VGIR;
VALORA CRI �NDICE DE PRE�O FDO INVEST. IMOB. FII;FII VALORAIP;;VGIP;
VALORA CRI INFRA II FII DE RESP. LTDA;FII VGII;;VGII;
VALORA HEDGE FUND FDO. INV. IMOB.;FII VALOR HE;;VGHF;
VALORA RENDA IMOB FUNDO DE INVES IMOB -RESP LIMIT;FII VGRI;;VGRI;
VBI AGRO - FUNDO DE INVESTIMENTO  IMOBILI�RIO;FII QUASAR A;;QAGR;
VBI OFFICE FUND II - FDO. INVEST. IMOB.;FII BLUEMAC;;BLMO;
VBI REITS MULTIESTRAT�GIA FDO. INV. IMOB;FII VBI REIT;;RVBI;
VECTIS JUROS REAL FDO INV. IMOB. - FII;FII VECTIS;;VCJR;
VECTIS RENDA RESIDENCIAL FDO. INV. IMOB.;FII VECT REN;;VCRR;
VECTOR QUELUZ ATIVOS IMOB FDO INV IMOB;FII VQ LAJES;;VLJS;
VENUS - FUNDO DE INVESTIMENTO IMOBILI�RIO;FII VENUS;;SALI;
VERA CRUZ THREE FDO DE INV IMOB RESP LIM;FII VCTH;;VCTH;
VERSALHES RECEB�VEIS IMOBILI�RIOS - FDO. INV. IMOB;FII VERS CRI;;VSLH;
VIC DESENVOLVIMENTO VINTAGE 20/21 FUND INVEST IMOB;FII VIC DES;;VIDS;
VIC DESENVOLVIMENTO VINTAGE 22/23 FDO DE INV IMOB;FII VIC VIN;;VDSV;
VINCI CREDIT SECURITIES FUNDO DE INVESTIMENTO IMOB;FII VINCI CR;;VCRI;
VINCI IM�VEIS URBANOS FDO. DE INV. IMOB.;FII VINCI IU;;VIUR;
VINCI INSTRUMENTOS FINANCEIROS FDO INV IMOB - FII;FII VINCI IF;;VIFI;
VINCI LOG�STICA FDO INV IMOB - FII;FII VINCI LG;;VILG;
VINCI OFFICES FDO INV IMOB;FII VINCI OF;;VINO;
VINCI SHOPPING CENTERS FDO INVEST IMOB - FII;FII VINCI SC;;VISC;
WARREN SECURITIES FDO DE INV IMOB - FII;FII WARREN;;WSEC;
WHG FINVEST SP REALTY FDO DE INV IMOB - FII;FII WHG F SP;;SPDE;
WHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILI�RIO;FII WHG REAL;;WHGR;
XP CORPORATE MACA� FDO INV IMOB - FII;FII XP MACAE;;XPCM;
XP CREDITO IMOBILI�RIO - FDO INV IMOB;FII XP CRED;;XPCI;
XP INDUSTRIAL FDO INV IMOB - FII;FII XP INDL;;XPIN;
XP LOG FDO INV IMOB - FII;FII XP LOG;;XPLG;
XP MALLS FDO INV IMOB FII;FII XP MALLS;;XPML;
XP PROPERTIES FDO. INV. IMOB.;FII XP PROP;;XPPR;
XP SELECTION FDO DE FUNDOS INV IMOB - FII;FII XP SELEC;;XPSF;
YUCA FDO INV. IMOB.;FII YUCA;;YUFI;
ZAGROS MULTIESTRAT�GIA FDO DE INV IMOB;FII ZAGH;;ZAGH;
ZAVIT CR�DITO IMOBILI�RIO - FDO INV IMOB;FII ZAVIT C;;ZAVC;
ZAVIT REAL ESTATE FUND - FDO INV IMOB;FII ZAVIT R;;ZAVI;
ZION CAPITAL FUNDO DE INVESTIMENTO IMOBILI�RIO FII;FII ZION;;ZIFI;
