Fundo,Tipo,Data Com,Data Pgto,Valor
BTAL11,Rendimento,19/08/2024,26/08/2024,"0,84"
BTAL11,Rendimento,17/07/2024,24/07/2024,"0,84"
BTAL11,Rendimento,19/06/2024,26/06/2024,"0,84"
BTAL11,Rendimento,20/05/2024,27/05/2024,"0,84"
BTAL11,Rendimento,17/04/2024,24/04/2024,"0,65"
BTAL11,Rendimento,19/03/2024,26/03/2024,"0,65"
BTAL11,Rendimento,21/02/2024,28/02/2024,"0,65"
BTAL11,Rendimento,18/01/2024,25/01/2024,"0,65"
BTAL11,Rendimento,19/12/2023,27/12/2023,"0,64"
BTAL11,Rendimento,21/11/2023,28/11/2023,"0,68"
BTAL11,Rendimento,19/10/2023,26/10/2023,"0,71"
BTAL11,Rendimento,20/09/2023,27/09/2023,"0,71"
BTAL11,Rendimento,17/08/2023,24/08/2023,"0,73"
BTAL11,Rendimento,19/07/2023,26/07/2023,"0,73"
BTAL11,Rendimento,20/06/2023,27/06/2023,"0,76"
BTAL11,Rendimento,18/05/2023,25/05/2023,"0,80"
BTAL11,Rendimento,20/04/2023,28/04/2023,"0,83"
BTAL11,Rendimento,17/03/2023,24/03/2023,"0,83"
BTAL11,Rendimento,17/02/2023,28/02/2023,"0,83"
BTAL11,Rendimento,18/01/2023,25/01/2023,"0,83"
BTAL11,Rendimento,19/12/2022,26/12/2022,"0,83"
BTAL11,Rendimento,21/11/2022,28/11/2022,"0,83"
BTAL11,Rendimento,20/10/2022,27/10/2022,"0,83"
BTAL11,Rendimento,20/09/2022,27/09/2022,"0,83"
BTAL11,Rendimento,17/08/2022,24/08/2022,"0,83"
BTAL11,Rendimento,19/07/2022,26/07/2022,"0,83"
BTAL11,Rendimento,20/06/2022,27/06/2022,"0,83"
BTAL11,Rendimento,18/05/2022,25/05/2022,"0,83"
BTAL11,Rendimento,20/04/2022,28/04/2022,"0,83"
BTAL11,Rendimento,18/03/2022,25/03/2022,"0,80"
BTAL11,Rendimento,17/02/2022,24/02/2022,"0,80"
BTAL11,Rendimento,19/01/2022,26/01/2022,"0,83"
BTAL11,Rendimento,17/12/2021,27/12/2021,"0,80"
BTAL11,Rendimento,19/11/2021,26/11/2021,"0,80"
BTAL11,Rendimento,20/10/2021,27/10/2021,"0,80"
BTAL11,Rendimento,20/09/2021,27/09/2021,"0,79"
BTAL11,Rendimento,18/08/2021,25/08/2021,"0,70"
BTAL11,Rendimento,20/07/2021,27/07/2021,"0,66"
BTAL11,Rendimento,18/06/2021,25/06/2021,"0,56"
BTAL11,Rendimento,19/05/2021,26/05/2021,"0,48"
BTAL11,Rendimento,20/04/2021,28/04/2021,"0,35"
BTAL11,Rendimento,17/03/2021,24/03/2021,"0,16"
CACR11,Rendimento,31/07/2024,08/08/2024,"1,30"
CACR11,Rendimento,28/06/2024,08/07/2024,"1,46"
CACR11,Rendimento,31/05/2024,10/06/2024,"1,41"
CACR11,Rendimento,30/04/2024,09/05/2024,"1,39"
CACR11,Rendimento,28/03/2024,08/04/2024,"1,37"
CACR11,Rendimento,29/02/2024,08/03/2024,"1,35"
CACR11,Rendimento,31/01/2024,08/02/2024,"1,35"
CACR11,Rendimento,28/12/2023,09/01/2024,"1,48"
CACR11,Rendimento,30/11/2023,08/12/2023,"1,42"
CACR11,Rendimento,31/10/2023,09/11/2023,"1,40"
CACR11,Rendimento,29/09/2023,09/10/2023,"1,42"
CACR11,Rendimento,31/08/2023,11/09/2023,"1,43"
CACR11,Rendimento,31/07/2023,08/08/2023,"1,42"
CACR11,Rendimento,30/06/2023,10/07/2023,"1,61"
CACR11,Rendimento,31/05/2023,09/06/2023,"1,52"
CACR11,Rendimento,28/04/2023,09/05/2023,"1,51"
CACR11,Rendimento,31/03/2023,11/04/2023,"1,44"
CACR11,Rendimento,28/02/2023,08/03/2023,"1,42"
CACR11,Rendimento,31/01/2023,08/02/2023,"1,40"
CACR11,Rendimento,29/12/2022,09/01/2023,"1,47"
CACR11,Rendimento,30/11/2022,08/12/2022,"1,42"
CACR11,Rendimento,31/10/2022,09/11/2022,"1,44"
CACR11,Rendimento,30/09/2022,10/10/2022,"1,56"
CACR11,Rendimento,31/08/2022,09/09/2022,"1,54"
CACR11,Rendimento,29/07/2022,08/08/2022,"1,52"
CACR11,Rendimento,30/06/2022,08/07/2022,"1,38"
CACR11,Rendimento,31/05/2022,08/06/2022,"1,41"
CACR11,Rendimento,29/04/2022,09/05/2022,"1,50"
CACR11,Rendimento,31/03/2022,08/04/2022,"1,44"
CACR11,Rendimento,25/02/2022,09/03/2022,"1,50"
CACR11,Rendimento,25/02/2022,08/03/2022,"1,50"
CACR11,Rendimento,31/01/2022,08/02/2022,"1,50"
CACR11,Rendimento,30/12/2021,10/01/2022,"1,59"
CACR11,Rendimento,30/11/2021,08/12/2021,"1,51"
CVBI11,Rendimento,08/08/2024,15/08/2024,"0,97"
CVBI11,Rendimento,08/07/2024,15/07/2024,"0,88"
CVBI11,Rendimento,10/06/2024,17/06/2024,"0,85"
CVBI11,Rendimento,09/05/2024,16/05/2024,"1,11"
CVBI11,Rendimento,08/04/2024,15/04/2024,"1,08"
CVBI11,Rendimento,08/03/2024,15/03/2024,"0,95"
CVBI11,Rendimento,08/02/2024,19/02/2024,"1,05"
CVBI11,Rendimento,09/01/2024,16/01/2024,"0,85"
CVBI11,Rendimento,08/12/2023,15/12/2023,"0,80"
CVBI11,Rendimento,09/11/2023,17/11/2023,"0,75"
CVBI11,Rendimento,09/10/2023,17/10/2023,"0,70"
CVBI11,Rendimento,11/09/2023,18/09/2023,"0,90"
CVBI11,Rendimento,08/08/2023,15/08/2023,"0,85"
CVBI11,Rendimento,10/07/2023,17/07/2023,"1,05"
CVBI11,Rendimento,09/06/2023,16/06/2023,"1,10"
CVBI11,Rendimento,09/05/2023,16/05/2023,"1,05"
CVBI11,Rendimento,11/04/2023,18/04/2023,"1,05"
CVBI11,Rendimento,08/03/2023,15/03/2023,"1,00"
CVBI11,Rendimento,08/02/2023,15/02/2023,"1,10"
CVBI11,Rendimento,09/01/2023,16/01/2023,"1,10"
CVBI11,Rendimento,08/12/2022,15/12/2022,"0,75"
CVBI11,Rendimento,09/11/2022,17/11/2022,"0,66"
CVBI11,Rendimento,10/10/2022,18/10/2022,"0,66"
CVBI11,Rendimento,09/09/2022,16/09/2022,"0,74"
CVBI11,Rendimento,08/08/2022,15/08/2022,"1,00"
CVBI11,Rendimento,08/07/2022,15/07/2022,"1,30"
CVBI11,Rendimento,09/06/2022,17/06/2022,"1,50"
CVBI11,Rendimento,09/05/2022,16/05/2022,"1,50"
CVBI11,Rendimento,08/04/2022,18/04/2022,"1,12"
CVBI11,Rendimento,09/03/2022,16/03/2022,"1,12"
CVBI11,Rendimento,08/02/2022,15/02/2022,"1,12"
CVBI11,Rendimento,10/01/2022,17/01/2022,"1,12"
CVBI11,Rendimento,08/12/2021,15/12/2021,"1,12"
CVBI11,Rendimento,09/11/2021,17/11/2021,"1,12"
CVBI11,Rendimento,08/10/2021,18/10/2021,"1,23"
CVBI11,Rendimento,09/09/2021,16/09/2021,"1,00"
CVBI11,Rendimento,09/08/2021,16/08/2021,"0,85"
CVBI11,Rendimento,08/07/2021,16/07/2021,"1,00"
CVBI11,Rendimento,09/06/2021,16/06/2021,"1,00"
CVBI11,Rendimento,10/05/2021,17/05/2021,"1,00"
CVBI11,Rendimento,09/04/2021,16/04/2021,"0,85"
CVBI11,Rendimento,08/03/2021,16/03/2021,"1,24"
CVBI11,Rendimento,08/02/2021,17/02/2021,"1,24"
CVBI11,Rendimento,11/01/2021,18/01/2021,"1,95"
CVBI11,Rendimento,08/12/2020,15/12/2020,"1,50"
CVBI11,Rendimento,10/11/2020,17/11/2020,"1,00"
CVBI11,Rendimento,08/10/2020,16/10/2020,"0,75"
CVBI11,Rendimento,09/09/2020,16/09/2020,"0,67"
CVBI11,Rendimento,10/08/2020,17/08/2020,"0,60"
CVBI11,Rendimento,08/07/2020,15/07/2020,"0,63"
CVBI11,Rendimento,08/06/2020,16/06/2020,"0,50"
CVBI11,Rendimento,11/05/2020,18/05/2020,"0,55"
CVBI11,Rendimento,08/04/2020,16/04/2020,"0,60"
CVBI11,Rendimento,10/03/2020,17/03/2020,"0,73"
CVBI11,Rendimento,07/02/2020,14/02/2020,"0,90"
CVBI11,Rendimento,08/01/2020,15/01/2020,"0,75"
CVBI11,Rendimento,06/12/2019,13/12/2019,"0,63"
CVBI11,Rendimento,07/11/2019,14/11/2019,"0,51"
CVBI11,Rendimento,07/10/2019,14/10/2019,"0,45"
CVBI11,Rendimento,10/09/2019,17/09/2019,"0,38"
CVBI11,Rendimento,19/08/2019,20/08/2019,"0,65"
FATN11,Rendimento,06/08/2024,14/08/2024,"0,85"
FATN11,Rendimento,04/07/2024,12/07/2024,"0,85"
FATN11,Rendimento,06/06/2024,14/06/2024,"0,85"
FATN11,Rendimento,07/05/2024,15/05/2024,"0,85"
FATN11,Rendimento,04/04/2024,12/04/2024,"0,85"
FATN11,Rendimento,06/03/2024,14/03/2024,"0,85"
FATN11,Rendimento,06/02/2024,16/02/2024,"0,85"
FATN11,Rendimento,05/01/2024,15/01/2024,"0,85"
FATN11,Rendimento,06/12/2023,14/12/2023,"0,85"
FATN11,Rendimento,07/11/2023,16/11/2023,"0,85"
FATN11,Rendimento,05/10/2023,16/10/2023,"0,85"
FATN11,Rendimento,06/09/2023,15/09/2023,"0,85"
FATN11,Rendimento,04/08/2023,14/08/2023,"0,84"
FATN11,Rendimento,06/07/2023,14/07/2023,"0,84"
FATN11,Rendimento,06/06/2023,15/06/2023,"0,83"
FATN11,Rendimento,05/05/2023,15/05/2023,"0,82"
FATN11,Rendimento,06/04/2023,17/04/2023,"0,83"
FATN11,Rendimento,06/03/2023,14/03/2023,"0,74"
FATN11,Rendimento,06/02/2023,14/02/2023,"0,90"
FATN11,Rendimento,05/01/2023,13/01/2023,"0,92"
FATN11,Rendimento,06/12/2022,14/12/2022,"0,80"
FATN11,Rendimento,07/11/2022,16/11/2022,"0,90"
FATN11,Rendimento,06/10/2022,17/10/2022,"0,89"
FATN11,Rendimento,06/09/2022,15/09/2022,"0,86"
FATN11,Rendimento,04/08/2022,12/08/2022,"0,86"
FATN11,Rendimento,06/07/2022,14/07/2022,"0,84"
FATN11,Rendimento,06/06/2022,14/06/2022,"0,83"
FATN11,Rendimento,05/05/2022,13/05/2022,"0,80"
FATN11,Rendimento,06/04/2022,14/04/2022,"0,78"
FATN11,Rendimento,07/03/2022,15/03/2022,"0,76"
FATN11,Rendimento,04/02/2022,14/02/2022,"0,76"
FATN11,Rendimento,06/01/2022,14/01/2022,"0,79"
FATN11,Rendimento,06/12/2021,14/12/2021,"0,71"
FATN11,Rendimento,05/11/2021,16/11/2021,"0,74"
FATN11,Rendimento,05/10/2021,15/10/2021,"0,75"
FATN11,Rendimento,06/09/2021,15/09/2021,"0,67"
FATN11,Rendimento,05/08/2021,13/08/2021,"0,67"
FATN11,Rendimento,06/07/2021,14/07/2021,"0,67"
FATN11,Rendimento,07/06/2021,15/06/2021,"0,67"
FATN11,Rendimento,06/05/2021,14/05/2021,"0,67"
FATN11,Rendimento,07/04/2021,15/04/2021,"0,66"
FATN11,Rendimento,04/03/2021,12/03/2021,"0,66"
FATN11,Rendimento,04/02/2021,12/02/2021,"0,62"
FATN11,Rendimento,07/01/2021,15/01/2021,"0,59"
FATN11,Rendimento,04/12/2020,14/12/2020,"0,57"
FATN11,Rendimento,06/11/2020,16/11/2020,"0,57"
FATN11,Rendimento,06/10/2020,15/10/2020,"0,61"
FATN11,Rendimento,04/09/2020,15/09/2020,"0,54"
FATN11,Rendimento,06/08/2020,14/08/2020,"0,53"
FATN11,Rendimento,06/07/2020,15/07/2020,"0,40"
GTWR11,Rendimento,31/07/2024,14/08/2024,"0,79"
GTWR11,Rendimento,28/06/2024,12/07/2024,"0,79"
GTWR11,Rendimento,31/05/2024,14/06/2024,"0,79"
GTWR11,Rendimento,30/04/2024,15/05/2024,"0,79"
GTWR11,Rendimento,28/03/2024,12/04/2024,"0,79"
GTWR11,Rendimento,29/02/2024,14/03/2024,"0,79"
GTWR11,Rendimento,31/01/2024,16/02/2024,"0,79"
GTWR11,Rendimento,28/12/2023,15/01/2024,"0,79"
GTWR11,Rendimento,30/11/2023,14/12/2023,"0,79"
GTWR11,Rendimento,31/10/2023,16/11/2023,"0,79"
GTWR11,Rendimento,29/09/2023,16/10/2023,"0,79"
GTWR11,Rendimento,31/08/2023,15/09/2023,"0,79"
GTWR11,Rendimento,31/07/2023,14/08/2023,"0,79"
GTWR11,Rendimento,30/06/2023,14/07/2023,"0,79"
GTWR11,Rendimento,31/05/2023,15/06/2023,"0,79"
GTWR11,Rendimento,28/04/2023,15/05/2023,"0,79"
GTWR11,Rendimento,31/03/2023,17/04/2023,"0,79"
GTWR11,Rendimento,28/02/2023,14/03/2023,"0,79"
GTWR11,Rendimento,31/01/2023,14/02/2023,"0,79"
GTWR11,Rendimento,29/12/2022,13/01/2023,"0,79"
GTWR11,Rendimento,30/11/2022,14/12/2022,"0,74"
GTWR11,Rendimento,31/10/2022,16/11/2022,"0,74"
GTWR11,Rendimento,30/09/2022,17/10/2022,"0,74"
GTWR11,Rendimento,31/08/2022,15/09/2022,"0,74"
GTWR11,Rendimento,29/07/2022,12/08/2022,"0,74"
GTWR11,Rendimento,30/06/2022,14/07/2022,"0,74"
GTWR11,Rendimento,31/05/2022,14/06/2022,"0,74"
GTWR11,Rendimento,29/04/2022,13/05/2022,"0,74"
GTWR11,Rendimento,31/03/2022,14/04/2022,"0,74"
GTWR11,Rendimento,25/02/2022,15/03/2022,"0,74"
GTWR11,Rendimento,31/01/2022,14/02/2022,"0,74"
GTWR11,Rendimento,30/12/2021,14/01/2022,"0,74"
GTWR11,Rendimento,30/11/2021,14/12/2021,"0,67"
GTWR11,Rendimento,29/10/2021,16/11/2021,"0,67"
GTWR11,Rendimento,30/09/2021,15/10/2021,"0,67"
GTWR11,Rendimento,31/08/2021,15/09/2021,"0,67"
GTWR11,Rendimento,30/07/2021,13/08/2021,"0,67"
GTWR11,Rendimento,30/06/2021,15/07/2021,"0,67"
GTWR11,Rendimento,31/05/2021,15/06/2021,"0,67"
GTWR11,Rendimento,30/04/2021,14/05/2021,"0,67"
GTWR11,Rendimento,31/03/2021,15/04/2021,"0,67"
GTWR11,Rendimento,26/02/2021,12/03/2021,"0,67"
GTWR11,Rendimento,29/01/2021,12/02/2021,"0,69"
GTWR11,Rendimento,30/12/2020,15/01/2021,"0,69"
GTWR11,Rendimento,30/11/2020,14/12/2020,"0,69"
GTWR11,Rendimento,30/10/2020,16/11/2020,"0,69"
GTWR11,Rendimento,30/09/2020,15/10/2020,"0,69"
GTWR11,Rendimento,31/08/2020,15/09/2020,"0,69"
GTWR11,Rendimento,31/07/2020,14/08/2020,"0,69"
GTWR11,Rendimento,30/06/2020,14/07/2020,"0,69"
GTWR11,Rendimento,29/05/2020,15/06/2020,"0,69"
GTWR11,Rendimento,30/04/2020,15/05/2020,"0,69"
GTWR11,Rendimento,31/03/2020,15/04/2020,"0,69"
GTWR11,Rendimento,28/02/2020,13/03/2020,"0,69"
GTWR11,Rendimento,31/01/2020,14/02/2020,"0,69"
GTWR11,Rendimento,30/12/2019,15/01/2020,"0,69"
GTWR11,Rendimento,29/11/2019,13/12/2019,"0,67"
GTWR11,Rendimento,31/10/2019,14/11/2019,"0,67"
GTWR11,Rendimento,30/09/2019,14/10/2019,"0,67"
GTWR11,Rendimento,30/08/2019,13/09/2019,"0,67"
GTWR11,Rendimento,31/07/2019,14/08/2019,"0,67"
GTWR11,Rendimento,28/06/2019,15/07/2019,"0,67"
GTWR11,Rendimento,31/05/2019,14/06/2019,"0,67"
GTWR11,Rendimento,30/04/2019,09/05/2019,"0,67"
GTWR11,Rendimento,29/03/2019,05/04/2019,"1,21"
HABT11,Rendimento,31/07/2024,12/08/2024,"1,00"
HABT11,Rendimento,28/06/2024,12/07/2024,"1,00"
HABT11,Rendimento,31/05/2024,12/06/2024,"1,05"
HABT11,Rendimento,30/04/2024,12/05/2024,"1,13"
HABT11,Rendimento,28/03/2024,12/04/2024,"1,10"
HABT11,Rendimento,29/02/2024,12/03/2024,"1,05"
HABT11,Rendimento,31/01/2024,09/02/2024,"1,00"
HABT11,Rendimento,28/12/2023,12/01/2024,"0,98"
HABT11,Rendimento,30/11/2023,12/12/2023,"1,00"
HABT11,Rendimento,31/10/2023,10/11/2023,"1,00"
HABT11,Rendimento,29/09/2023,11/10/2023,"1,00"
HABT11,Rendimento,31/08/2023,12/09/2023,"1,00"
HABT11,Rendimento,31/07/2023,14/08/2023,"1,20"
HABT11,Rendimento,31/07/2023,11/08/2023,"1,20"
HABT11,Rendimento,30/06/2023,12/07/2023,"1,20"
HABT11,Rendimento,31/05/2023,12/06/2023,"1,30"
HABT11,Rendimento,28/04/2023,12/05/2023,"1,27"
HABT11,Rendimento,31/03/2023,12/04/2023,"1,25"
HABT11,Rendimento,28/02/2023,10/03/2023,"1,20"
HABT11,Rendimento,31/01/2023,10/02/2023,"1,18"
HABT11,Rendimento,29/12/2022,12/01/2023,"1,17"
HABT11,Rendimento,30/11/2022,12/12/2022,"0,92"
HABT11,Rendimento,31/10/2022,11/11/2022,"0,90"
HABT11,Rendimento,30/09/2022,11/10/2022,"1,00"
HABT11,Rendimento,31/08/2022,12/09/2022,"1,03"
HABT11,Rendimento,29/07/2022,12/08/2022,"1,30"
HABT11,Rendimento,30/06/2022,12/07/2022,"1,30"
HABT11,Rendimento,31/05/2022,10/06/2022,"1,40"
HABT11,Rendimento,29/04/2022,12/05/2022,"1,25"
HABT11,Rendimento,31/03/2022,12/04/2022,"1,20"
HABT11,Rendimento,25/02/2022,11/03/2022,"1,30"
HABT11,Rendimento,31/01/2022,11/02/2022,"1,20"
HABT11,Rendimento,30/12/2021,12/01/2022,"1,30"
HABT11,Rendimento,30/11/2021,10/12/2021,"1,50"
HABT11,Rendimento,29/10/2021,12/11/2021,"1,50"
HABT11,Rendimento,30/09/2021,11/10/2021,"1,50"
HABT11,Rendimento,31/08/2021,10/09/2021,"1,50"
HABT11,Rendimento,30/07/2021,12/08/2021,"1,60"
HABT11,Rendimento,30/06/2021,12/07/2021,"2,00"
